Wavelength (nm),i
901.7999878,0.001973739
902,0.002521792
902.2000122,0.002152273
902.4000244,0.002540266
902.5999756,0.002197059
902.7999878,0.002569841
903,0.002349047
903.2000122,0.002319851
903.4000244,0.002497709
903.5999756,0.002335989
903.7999878,0.002339311
904,0.00245318
904.2000122,0.002327587
904.4000244,0.002394655
904.5999756,0.002375207
904.7999878,0.002111641
905,0.00219751
905.2000122,0.002221524
905.4000244,0.002036388
905.5999756,0.002370724
905.7999878,0.00240098
906,0.002096151
906.2000122,0.002428439
906.4000244,0.001920324
906.5999756,0.002023141
906.7999878,0.00219659
907,0.002324052
907.2000122,0.001889479
907.4000244,0.002094317
907.5999756,0.001853619
907.7999878,0.001856171
908,0.001931363
908.2000122,0.00203723
908.4000244,0.002013209
908.5999756,0.001837494
908.7999878,0.001630949
909,0.001748694
909.2000122,0.001710005
909.4000244,0.001790742
909.5999756,0.001913988
909.7999878,0.001673263
910,0.00176714
910.2000122,0.00166144
910.4000244,0.001539894
910.5999756,0.001302789
910.7999878,0.001553389
911,0.001642943
911.2000122,0.001475172
911.4000244,0.001490095
911.5999756,0.001204681
911.7999878,0.001399797
912,0.001448674
912.2000122,0.001339878
912.4000244,0.001450803
912.5999756,0.001333561
912.7999878,0.001257331
913,0.001125473
913.2000122,0.001333346
913.4000244,0.001208165
913.5999756,0.001407903
913.7999878,0.0012823
914,0.001167711
914.2000122,0.001343392
914.4000244,0.001041787
914.5999756,0.001011694
914.7999878,0.00104035
915,0.000923207
915.2000122,0.00101891
915.4000244,0.000994502
915.5999756,0.001013663
915.7999878,0.000918531
916,0.000917478
916.2000122,0.001046994
916.4000244,0.000847742
916.5999756,0.000829667
916.7999878,0.000831665
917,0.000870668
917.2000122,0.000688571
917.4000244,0.000624683
917.5999756,0.000594458
917.7999878,0.000708533
918,0.00071509
918.2000122,0.000754368
918.4000244,0.000759412
918.5999756,0.000917061
918.7999878,0.000664819
919,0.000586169
919.2000122,0.000696165
919.4000244,0.000633021
919.5999756,0.000577125
919.7999878,0.000560843
920,0.000649308
920.2000122,0.000554658
920.4000244,0.000448734
920.5999756,0.000428279
920.7999878,0.000430621
921,0.000420688
921.2000122,0.000435773
921.4000244,0.00052736
921.5999756,0.000336158
921.7999878,0.000421056
922,0.000451712
922.2000122,0.00036691
922.4000244,0.000235394
922.5999756,0.000343447
922.7999878,0.000488998
923,0.000410005
923.2000122,0.000403649
923.4000244,0.00036565
923.5999756,0.000311337
923.7999878,0.000301939
924,0.000228006
924.2000122,0.000151907
924.4000244,0.0001621
924.5999756,0.000197126
924.7999878,0.000236145
925,0.000213304
925.2000122,0.000331758
925.4000244,0.000180196
925.5999756,0.000089
925.7999878,0.000120124
926,0.000139227
926.2000122,0.000172819
926.4000244,-0.0000137
926.5999756,0.000197156
926.7999878,0.00023698
927,0.000112492
927.2000122,0.000210975
927.4000244,0.0000979
927.5999756,0.0000716
927.7999878,0.000169359
928,0.000156551
928.2000122,0.000196671
928.4000244,0.000107288
928.5999756,0.0000107
928.7999878,0.000286092
929,0.000244681
929.2000122,0.000145838
929.4000244,0.000218972
929.5999756,0.000120072
929.7999878,-0.0000495
930,0.000210196
930.2000122,0.000286327
930.4000244,0.00015048
930.5999756,0.000118144
930.7999878,0.000131142
931,0.00000533
931.2000122,-0.0000446
931.4000244,0.000271437
931.5999756,0.0000583
931.7999878,0.0000521
932,0.000290107
932.2000122,0.0000365
932.4000244,0.000138965
932.5999756,0.000248133
932.7999878,0.000137021
933,0.000135293
933.2000122,0.000211728
933.4000244,0.0000703
933.5999756,0.000106666
933.7999878,0.000122371
934,0.0000933
934.2000122,-0.0000304
934.4000244,0.0000928
934.5999756,0.000245564
934.7999878,-0.0000642
935,0.0000588
935.2000122,0.000173936
935.4000244,0.000155973
935.5999756,0.000120556
935.7999878,0.0000864
936,-0.0000038
936.2000122,0.000137835
936.4000244,0.000290267
936.5999756,0.000129911
936.7999878,0.0000981
937,-0.000023
937.2000122,0.000160785
