Wavelength (nm),u
945,0.005941661
945.2000122,0.005844718
945.4000244,0.006024544
945.5999756,0.005984917
945.7999878,0.005983019
946,0.006036731
946.2000122,0.00606298
946.4000244,0.005965561
946.5999756,0.006025965
946.7999878,0.005906239
947,0.005907017
947.2000122,0.005978094
947.4000244,0.005988188
947.5999756,0.005997787
947.7999878,0.005934493
948,0.00591753
948.2000122,0.005866479
948.4000244,0.005918216
948.5999756,0.005639501
948.7999878,0.005843883
949,0.005875167
949.2000122,0.005573002
949.4000244,0.005840826
949.5999756,0.005776024
949.7999878,0.005679644
950,0.005650762
950.2000122,0.005603495
950.4000244,0.005657413
950.5999756,0.005667391
950.7999878,0.005523615
951,0.005264973
951.2000122,0.005523122
951.4000244,0.005280217
951.5999756,0.005281037
951.7999878,0.005293475
952,0.005160483
952.2000122,0.005223622
952.4000244,0.005245098
952.5999756,0.005013385
952.7999878,0.004883046
953,0.005139268
953.2000122,0.004800957
953.4000244,0.004689588
953.5999756,0.004815483
953.7999878,0.004535655
954,0.004826693
954.2000122,0.004657438
954.4000244,0.00429231
954.5999756,0.004559798
954.7999878,0.004332681
955,0.004408809
955.2000122,0.00414968
955.4000244,0.004307338
955.5999756,0.004099957
955.7999878,0.004142984
956,0.003798427
956.2000122,0.003684608
956.4000244,0.003683843
956.5999756,0.003488223
956.7999878,0.003659731
957,0.00353553
957.2000122,0.003389569
957.4000244,0.003323895
957.5999756,0.003309774
957.7999878,0.003079144
958,0.003176573
958.2000122,0.00290706
958.4000244,0.003000178
958.5999756,0.002889975
958.7999878,0.002708979
959,0.002760636
959.2000122,0.002650499
959.4000244,0.002558463
959.5999756,0.002476209
959.7999878,0.00248354
960,0.002202041
960.2000122,0.002567065
960.4000244,0.002369558
960.5999756,0.002176398
960.7999878,0.002308754
961,0.002302494
961.2000122,0.002177505
961.4000244,0.002133307
961.5999756,0.001880555
961.7999878,0.002076822
962,0.001962444
962.2000122,0.001879855
962.4000244,0.001917706
962.5999756,0.001862468
962.7999878,0.001677719
963,0.001702907
963.2000122,0.001729743
963.4000244,0.001628081
963.5999756,0.00145042
963.7999878,0.001492657
964,0.001247684
964.2000122,0.001348375
964.4000244,0.001435492
964.5999756,0.001140911
964.7999878,0.001350124
965,0.00123455
965.2000122,0.001225562
965.4000244,0.00119392
965.5999756,0.000917177
965.7999878,0.001000185
966,0.000970689
966.2000122,0.001024253
966.4000244,0.00085868
966.5999756,0.000972104
966.7999878,0.000980681
967,0.000953135
967.2000122,0.000871345
967.4000244,0.000763132
967.5999756,0.000817709
967.7999878,0.000742928
968,0.000786885
968.2000122,0.000760071
968.4000244,0.000740446
968.5999756,0.000825553
968.7999878,0.000810676
969,0.000672304
969.2000122,0.000835471
969.4000244,0.000644738
969.5999756,0.000720435
969.7999878,0.000674351
970,0.00068624
970.2000122,0.000736228
970.4000244,0.00050842
970.5999756,0.000802431
970.7999878,0.000681719
971,0.000647516
971.2000122,0.000674028
971.4000244,0.000568526
971.5999756,0.00059928
971.7999878,0.000608723
972,0.000630839
972.2000122,0.000488216
972.4000244,0.000649421
972.5999756,0.00045368
972.7999878,0.00059727
973,0.000529657
973.2000122,0.000583613
973.4000244,0.00059451
973.5999756,0.000591799
973.7999878,0.000336381
974,0.000501963
974.2000122,0.000574464
974.4000244,0.000551376
974.5999756,0.000521468
974.7999878,0.00042323
975,0.000412275
975.2000122,0.000555327
975.4000244,0.000447121
975.5999756,0.000528268
975.7999878,0.000520606
976,0.000257886
976.2000122,0.000469418
