Wavelength (nm),g
875.2000122,0.005113195
875.4000244,0.005493913
875.5999756,0.005101324
875.7999878,0.005064179
876,0.005313068
876.2000122,0.005682725
876.4000244,0.005382421
876.5999756,0.005773342
876.7999878,0.005300991
877,0.005096979
877.2000122,0.005860102
877.4000244,0.005296069
877.5999756,0.005302056
877.7999878,0.00516515
878,0.005214398
878.2000122,0.005650953
878.4000244,0.005547689
878.5999756,0.005433418
878.7999878,0.005397414
879,0.00571258
879.2000122,0.005261811
879.4000244,0.005637126
879.5999756,0.005226935
879.7999878,0.005354589
880,0.005548753
880.2000122,0.004957591
880.4000244,0.00480631
880.5999756,0.005281375
880.7999878,0.005518395
881,0.005175871
881.2000122,0.005076548
881.4000244,0.005316476
881.5999756,0.005030312
881.7999878,0.004933694
882,0.005507449
882.2000122,0.005122117
882.4000244,0.00523752
882.5999756,0.004781443
882.7999878,0.005350155
883,0.005464347
883.2000122,0.005135162
883.4000244,0.004985831
883.5999756,0.00460475
883.7999878,0.005248857
884,0.005443647
884.2000122,0.005384948
884.4000244,0.004872125
884.5999756,0.005202149
884.7999878,0.005713869
885,0.005088735
885.2000122,0.00511855
885.4000244,0.004916345
885.5999756,0.005118833
885.7999878,0.005215632
886,0.005523762
886.2000122,0.005189828
886.4000244,0.00512015
886.5999756,0.005205473
886.7999878,0.005270959
887,0.004761561
887.2000122,0.004771169
887.4000244,0.004986153
887.5999756,0.005511966
887.7999878,0.004803022
888,0.005333749
888.2000122,0.004632565
888.4000244,0.004831188
888.5999756,0.005483721
888.7999878,0.004886309
889,0.00499431
889.2000122,0.005590195
889.4000244,0.004825348
889.5999756,0.004909562
889.7999878,0.005396086
890,0.005585098
890.2000122,0.004974139
890.4000244,0.0050151
890.5999756,0.00477269
890.7999878,0.005123512
891,0.005336041
891.2000122,0.005092909
891.4000244,0.005053421
891.5999756,0.005670708
891.7999878,0.004882643
892,0.005235733
892.2000122,0.005546039
892.4000244,0.004863031
892.5999756,0.005324994
892.7999878,0.004388347
893,0.005478732
893.2000122,0.005121088
893.4000244,0.004799351
893.5999756,0.005005931
893.7999878,0.005145268
894,0.005049209
894.2000122,0.005495488
894.4000244,0.004927724
894.5999756,0.005399115
894.7999878,0.005108719
895,0.005220472
895.2000122,0.004812183
895.4000244,0.004959995
895.5999756,0.004968153
895.7999878,0.005100064
896,0.00488282
896.2000122,0.005343088
896.4000244,0.005091746
896.5999756,0.005122488
896.7999878,0.005173826
897,0.00497989
897.2000122,0.005322828
897.4000244,0.005068335
897.5999756,0.005700469
897.7999878,0.005136471
898,0.005287706
898.2000122,0.004982947
898.4000244,0.005038842
898.5999756,0.005040476
898.7999878,0.005195893
899,0.004795907
899.2000122,0.005199955
899.4000244,0.005531166
899.5999756,0.00518824
899.7999878,0.005210306
900,0.005347116
900.2000122,0.00499562
900.4000244,0.004747001
