Wavelength (nm),z
526.1799927,-0.027527401
526,-0.027260784
525.8200073,-0.027252711
525.6400146,-0.027439535
525.460022,-0.027236823
525.2799683,-0.027458727
525.0999756,-0.026929382
524.9199829,-0.02669441
524.7399902,-0.026815055
524.5599976,-0.026884602
524.3800049,-0.027126331
524.2000122,-0.026869126
524.0200195,-0.027022786
523.8400269,-0.026617143
523.6599731,-0.02642902
523.4799805,-0.025994208
523.2999878,-0.02612008
523.1199951,-0.025960891
522.9400024,-0.02547848
522.7600098,-0.025749011
522.5800171,-0.024634646
522.4000244,-0.024956992
522.2199707,-0.024209803
522.039978,-0.024214525
521.8599854,-0.023482367
521.6799927,-0.022665853
521.5,-0.022679614
521.3200073,-0.021380398
521.1400146,-0.020790787
520.960022,-0.020052558
520.7799683,-0.019353217
520.5999756,-0.01859024
520.4199829,-0.018267283
520.2399902,-0.017246624
520.0599976,-0.016971154
519.8800049,-0.017347118
519.7000122,-0.016895944
519.5200195,-0.016829086
519.3400269,-0.017404089
519.1599731,-0.018399803
518.9799805,-0.018742103
518.7999878,-0.019195752
518.6199951,-0.020211825
518.4400024,-0.020751869
518.2600098,-0.021724068
518.0800171,-0.021935023
517.9000244,-0.022423597
517.7199707,-0.023003045
517.539978,-0.023206022
517.3599854,-0.023826284
517.1799927,-0.023769565
517,-0.024665011
516.8200073,-0.025082316
516.6400146,-0.025348572
516.460022,-0.025429208
516.2799683,-0.025600594
516.0999756,-0.025608713
515.9199829,-0.026246781
515.7399902,-0.026024427
515.5599976,-0.026146416
515.3800049,-0.02649438
515.2000122,-0.026887024
515.0200195,-0.026978083
514.8400269,-0.026802117
514.6599731,-0.027095387
514.4799805,-0.026798595
514.2999878,-0.027168864
514.1199951,-0.026832717
513.9400024,-0.027161691
513.7600098,-0.027284227
513.5800171,-0.027332626
513.4000244,-0.02776939
513.2199707,-0.027453998
513.039978,-0.027425976
512.8599854,-0.027424598
512.6799927,-0.027987748
512.5,-0.027832232
512.3200073,-0.02758746
512.1400146,-0.027751818
511.9599915,-0.027702414
511.7799988,-0.027685881
511.6000061,-0.027432168
511.4199829,-0.027868621
511.2399902,-0.027875066
511.0599976,-0.028009661
510.8800049,-0.027381876
510.7000122,-0.02794482
510.519989,-0.02779508
510.3399963,-0.027872669
510.1600037,-0.0280199
509.980011,-0.027537469
509.7999878,-0.028065074
509.6199951,-0.027844202
509.4400024,-0.027525673
509.2600098,-0.027535655
509.0799866,-0.027889133
508.8999939,-0.027557705
508.7200012,-0.02767933
508.5400085,-0.027943872
508.3599854,-0.027682047
508.1799927,-0.027642693
508,-0.027722528
507.8200073,-0.027414482
507.6399841,-0.027601797
507.4599915,-0.027161386
507.2799988,-0.027287824
507.1000061,-0.027039487
506.9199829,-0.026858784
506.7399902,-0.026746463
506.5599976,-0.026688175
506.3800049,-0.026257787
506.2000122,-0.025130922
506.019989,-0.025883326
505.8399963,-0.024973948
505.6600037,-0.024218632
505.480011,-0.023758017
505.2999878,-0.022905223
505.1199951,-0.021762092
504.9400024,-0.019918192
504.7600098,-0.019065147
504.5799866,-0.018030804
504.3999939,-0.016931022
504.2200012,-0.016455466
504.0400085,-0.016553562
503.8599854,-0.017876169
503.6799927,-0.019193634
503.5,-0.021001875
503.3200073,-0.021994464
503.1399841,-0.023014583
502.9599915,-0.024630759
502.7799988,-0.025009286
502.6000061,-0.025735997
502.4199829,-0.026086418
502.2399902,-0.026608229
502.0599976,-0.026909629
501.8800049,-0.026954254
501.7000122,-0.026775789
501.519989,-0.027383596
501.3399963,-0.027227119
501.1600037,-0.027576949
500.980011,-0.027855743
500.7999878,-0.027757335
500.6199951,-0.028138338
500.4400024,-0.028166082
500.2600098,-0.027815489
500.0799866,-0.027929563
499.8999939,-0.028207034
499.7200012,-0.028280783
499.5400085,-0.027881153
499.3599854,-0.028291754
499.1799927,-0.027829295
499,-0.028336026
498.8200073,-0.027956771
498.6399841,-0.028200826
498.4599915,-0.028231304
498.2799988,-0.028068801
498.1000061,-0.028396415
497.9199829,-0.028516389
497.7399902,-0.028114796
497.5599976,-0.028260095
497.3800049,-0.028580625
497.2000122,-0.027856708
497.019989,-0.027982496
496.8399963,-0.0280884
496.6600037,-0.028392512
496.480011,-0.02872812
496.2999878,-0.028582014
496.1199951,-0.02860708
495.9400024,-0.028580643
495.7600098,-0.028090173
495.5799866,-0.028004136
495.3999939,-0.028146332
495.2200012,-0.028190188
495.0400085,-0.028667133
494.8599854,-0.02816214
494.6799927,-0.028679665
494.5,-0.028587811
494.3200073,-0.028211752
494.1399841,-0.02849175
493.9599915,-0.028553937
493.7799988,-0.028385671
493.6000061,-0.028594427
493.4199829,-0.028557461
493.2399902,-0.028630981
493.0599976,-0.02837164
492.8800049,-0.028615352
492.6999817,-0.028777832
492.519989,-0.028557479
492.3399963,-0.028792379
492.1600037,-0.028460942
491.980011,-0.028911507
491.7999878,-0.028404221
491.6199951,-0.028616667
491.4400024,-0.028743278
491.2600098,-0.028666653
491.0799866,-0.028553864
490.8999939,-0.028711671
490.7200012,-0.028582454
490.5400085,-0.028863726
490.3599854,-0.029103903
490.1799927,-0.028487833
490,-0.028612575
489.8200073,-0.028884394
489.6399841,-0.028723123
489.4599915,-0.028773671
