Wavelength (nm),zs
883.5999756,99.07829285
883.7999878,99.14726257
884,99.08281708
884.2000122,99.04418945
884.4000244,99.03868103
884.5999756,99.09936523
884.7999878,99.02458191
885,98.98538208
885.2000122,98.96434784
885.4000244,98.97193909
885.5999756,98.97414398
885.7999878,98.95007324
886,99.01249695
886.2000122,98.95462799
886.4000244,98.94596863
886.5999756,98.94564819
886.7999878,98.99935913
887,98.99143219
887.2000122,98.98300934
887.4000244,98.94119263
887.5999756,98.85353851
887.7999878,98.9905777
888,99.00772095
888.2000122,98.93699646
888.4000244,98.94233704
888.5999756,98.9265976
888.7999878,98.83407593
889,98.97124481
889.2000122,98.90545654
889.4000244,98.92732239
889.5999756,98.99066925
889.7999878,99.03161621
890,99.05620575
890.2000122,98.9588089
890.4000244,98.98049927
890.5999756,98.9705658
890.7999878,99.00730133
891,98.96595001
891.2000122,98.99674988
891.4000244,98.90510559
891.5999756,98.98808289
891.7999878,99.02047729
892,98.97750854
892.2000122,98.93326569
892.4000244,98.99791718
892.5999756,98.98925781
892.7999878,99.02164459
893,98.98574829
893.2000122,98.95410919
893.4000244,99.02059174
893.5999756,99.01622772
893.7999878,99.03367615
894,98.96255493
894.2000122,99.06952667
894.4000244,99.03134918
894.5999756,98.97605133
894.7999878,99.09786224
895,99.07268524
895.2000122,99.08342743
895.4000244,99.05862427
895.5999756,99.10720825
895.7999878,99.11321259
896,99.13432312
896.2000122,99.13632965
896.4000244,99.09155273
896.5999756,99.14264679
896.7999878,99.09386444
897,99.20683289
897.2000122,99.18477631
897.4000244,99.25205994
897.5999756,99.13576508
897.7999878,99.22956085
898,99.19803619
898.2000122,99.20042419
898.4000244,99.27323151
898.5999756,99.27420044
898.7999878,99.31993866
899,99.27173615
899.2000122,99.3350296
899.4000244,99.32038879
899.5999756,99.38952637
899.7999878,99.44606018
900,99.44519043
900.2000122,99.50660706
900.4000244,99.47055817
900.5999756,99.42694092
900.7999878,99.49743652
901,99.44940948
901.2000122,99.53296661
901.4000244,99.58491516
901.5999756,99.56451416
901.7999878,99.56178284
902,99.57936859
902.2000122,99.62839508
902.4000244,99.53923035
902.5999756,99.56124115
902.7999878,99.60110474
903,99.59552002
903.2000122,99.59674835
903.4000244,99.60531616
903.5999756,99.51280975
903.7999878,99.61244202
904,99.48107147
904.2000122,99.5896225
904.4000244,99.54631042
904.5999756,99.49284363
904.7999878,99.40707397
905,99.36005402
905.2000122,99.45629883
905.4000244,99.32292175
905.5999756,99.28077698
905.7999878,99.32017517
906,99.30303192
906.2000122,99.28437805
906.4000244,99.19650269
906.5999756,99.19993591
906.7999878,99.19150543
907,99.21435547
907.2000122,99.10490417
907.4000244,99.09886169
907.5999756,99.08426666
907.7999878,98.98066711
908,99.05993652
908.2000122,99.00991058
908.4000244,99.07279968
908.5999756,99.07939148
908.7999878,98.96271515
909,99.06925201
909.2000122,99.12606049
909.4000244,99.08096313
909.5999756,98.9903717
909.7999878,99.08057404
910,99.03681183
910.2000122,99.04772949
910.4000244,99.06745911
910.5999756,99.01991272
910.7999878,99.07920837
911,99.05078125
911.2000122,98.97612
911.4000244,98.98445129
911.5999756,98.90968323
911.7999878,98.93873596
912,98.76646423
912.2000122,98.62335205
912.4000244,98.4903183
912.5999756,98.29844666
912.7999878,97.98661804
913,97.72806549
913.2000122,97.27838898
913.4000244,96.82299042
913.5999756,96.28610229
913.7999878,95.41177368
914,94.72742462
914.2000122,93.72028351
914.4000244,92.77354431
914.5999756,91.54764557
914.7999878,90.25808716
915,88.75821686
915.2000122,87.2649765
915.4000244,85.37174988
915.5999756,83.40451813
915.7999878,81.41950226
916,79.36016083
916.2000122,77.29261017
916.4000244,74.6505127
916.5999756,72.41345978
916.7999878,69.86166382
917,67.67394257
917.2000122,64.65260315
917.4000244,62.11240387
917.5999756,59.45890045
917.7999878,57.2994957
918,54.51626205
918.2000122,52.01081467
918.4000244,49.55061722
918.5999756,47.36621094
918.7999878,45.15877914
919,42.74732208
919.2000122,40.80452347
919.4000244,38.85033035
919.5999756,37.25324631
919.7999878,35.26865387
920,33.77674484
920.2000122,32.05295944
920.4000244,30.80429459
920.5999756,29.18575096
920.7999878,27.83939171
921,26.50653458
921.2000122,25.45856476
921.4000244,24.35851669
921.5999756,23.18774986
921.7999878,22.28315353
922,21.36209297
922.2000122,20.68188095
922.4000244,19.66139793
922.5999756,18.94868851
922.7999878,18.11998177
923,17.56604576
923.2000122,16.81689453
923.4000244,16.24419022
923.5999756,15.57889175
923.7999878,15.13254356
924,14.57904625
924.2000122,14.00425243
924.4000244,13.53830433
924.5999756,13.04501724
